iteration,step_time_s,rss_mb,cpu_percent
0,3.5334831479995046,758.5546875,0.0
1000,0.5997256389819086,798.4609375,142.9
2000,0.6220419790188316,801.1953125,139.1
3000,0.5811725709936582,803.05859375,137.6
4000,0.6110099609941244,804.44140625,137.6
5000,0.5442113530007191,805.61328125,142.2
6000,0.5969371619867161,806.4375,138.1
7000,0.583483280002838,806.91796875,133.8
8000,0.5598015119903721,807.3984375,136.0
9000,0.5597165799990762,807.46875,144.2
10000,0.5422175860148855,807.609375,139.9
11000,0.6072209830163047,807.765625,135.5
12000,0.5729648180131335,808.140625,136.6
13000,0.6105345679970924,808.4296875,134.8
14000,0.611240849015303,808.75,133.6
15000,0.6107291239895858,808.75,137.2
16000,0.5866001480026171,808.75,135.0
17000,0.5572281019994989,808.75,141.0
18000,0.6149112029816024,809.0,144.9
19000,0.5858206349948887,809.48046875,141.9
20000,0.5932523609953932,809.48046875,142.3
21000,0.5695435100060422,809.5859375,141.1
22000,0.6220303589943796,809.8671875,138.9
23000,0.6392000289924908,809.97265625,140.2
24000,0.5799491000070702,810.74609375,138.5
25000,0.6009252759977244,810.74609375,136.0
26000,0.6404258979891893,810.74609375,139.9
27000,0.6798657870094758,811.1015625,139.1
28000,0.6330976950121112,811.1015625,141.5
29000,0.6098617950046901,811.1015625,142.0
30000,0.5912315179884899,811.1015625,137.9
31000,0.6514140480139758,811.1015625,144.0
32000,0.6739854530023877,811.1015625,137.9
33000,0.5916314829955809,811.1015625,138.8
34000,0.6041734050086234,811.16015625,138.8
35000,0.5871441940253135,811.16015625,141.5
36000,0.5670427290024236,811.33984375,143.3
37000,0.534048272005748,811.33984375,140.5
38000,0.6695685109880287,812.515625,158.0
39000,0.6311342999979388,812.7890625,149.6
40000,0.5788040560146328,812.7890625,141.9
41000,0.5381784650089685,812.7890625,132.2
42000,0.5346404459851328,812.7890625,135.8
43000,0.5231511090241838,812.7890625,141.1
44000,0.6112176410097163,812.8046875,144.8
45000,0.5984363990137354,812.8046875,142.5
46000,0.5889171859889757,812.8046875,141.7
47000,0.5859262739832047,812.87109375,140.9
48000,0.5876433849916793,813.015625,148.1
49000,0.6312547300185543,813.015625,145.0
50000,0.5846933000138961,813.18359375,135.9
51000,0.6206926769809797,813.18359375,136.0
52000,0.5918107570032589,813.18359375,136.3
53000,0.702921736985445,813.18359375,136.5
54000,0.6297047950210981,813.18359375,139.1
55000,0.6306048620026559,813.18359375,143.3
56000,0.6318071490095463,813.18359375,139.7
57000,0.6358606099965982,813.18359375,133.4
58000,0.6536390609981027,813.18359375,133.8
59000,0.5797664290003013,813.21875,135.5
60000,0.6277809560124297,813.21875,141.8
61000,0.6019667999935336,813.35546875,146.6
62000,0.5988968519959599,813.35546875,140.1
63000,0.5671763839782216,814.25,134.4
64000,0.600756285013631,814.25,134.5
65000,0.6267169889761135,814.25,135.9
66000,0.6267718790040817,814.3828125,132.7
67000,0.519176743022399,814.3828125,137.9
68000,0.5904119559854735,814.3828125,133.8
69000,0.6355000670009758,814.3828125,130.9
70000,0.5691781310015358,814.3828125,135.5
71000,0.6689579889934976,814.3828125,132.4
72000,0.6161142929922789,814.3828125,130.1
73000,0.6786880459985696,814.3828125,128.5
74000,0.6325709829980042,814.3828125,135.3
75000,0.5904664699919522,814.3828125,136.7
76000,0.6009983520198148,814.51953125,134.6
77000,0.6120202530000824,814.51953125,133.3
78000,0.6743349110183772,814.51953125,137.8
79000,0.6329457089887001,814.51953125,135.9
80000,0.6157735410088208,814.51953125,136.6
81000,0.6263122109812684,814.51953125,137.6
82000,0.673025695985416,814.51953125,140.8
83000,0.5957675520039629,814.51953125,136.6
84000,0.5455256039858796,814.86328125,141.0
85000,0.6441894870076794,814.86328125,143.6
86000,0.6661968420085032,814.86328125,137.9
87000,0.5909470740007237,814.86328125,137.8
88000,0.6057020559965167,814.98046875,137.7
89000,0.5427078939974308,814.984375,141.4
90000,0.5356898900063243,815.34375,152.3
91000,0.5416061560099479,815.34375,149.3
92000,0.5915693160204682,815.5234375,153.9
93000,0.5987666790024377,815.65234375,147.7
94000,0.6419766219914891,815.74609375,151.0
95000,0.6852263559994753,815.74609375,148.1
96000,0.6690663869958371,815.74609375,136.8
97000,0.6342466350179166,815.953125,140.5
98000,0.6866737469972577,816.12890625,130.4
99000,0.7157729949976783,816.12890625,128.9
100000,0.6349676990066655,816.12890625,136.2
101000,0.66849323300994,816.12890625,135.7
102000,0.6856912979856133,816.12890625,136.1
103000,0.7253712380188517,816.12890625,131.7
104000,0.5563849130121525,816.12890625,141.4
105000,0.6103812780056614,816.30859375,156.0
106000,0.6232733750075568,817.296875,155.9
107000,0.5918984419840854,817.296875,150.0
108000,0.5633461750112474,817.296875,156.1
109000,0.5700013370078523,818.25,156.9
110000,0.584912683989387,818.25,145.0
111000,0.5782734490057919,818.25,137.9
