iteration,step_time_s,rss_mb,cpu_percent
0,7.629400785008329,997.4296875,0.0
1000,0.8569263749959646,1390.265625,400.7
2000,0.7118214460060699,2421.53125,396.4
3000,0.7680665619991487,1403.4609375,449.7
4000,0.734955945998081,1419.19140625,455.3
5000,0.7262342930043815,1420.19140625,431.4
6000,0.7180435939953895,1420.828125,464.7
7000,0.6650973869982408,1421.7421875,459.6
8000,0.7400636720121838,1425.5,448.2
9000,0.7225550829898566,1413.49609375,445.9
10000,0.703247482990264,1413.64453125,449.6
11000,0.6916046620026464,1413.84765625,441.2
12000,0.7466347829904407,1425.7421875,445.8
13000,0.6718761219963199,1427.5390625,449.6
14000,0.6966858410014538,1414.4296875,450.7
15000,0.6560074570006691,1318.89453125,451.4
16000,0.7171357980114408,1078.2890625,431.4
17000,0.7535623010044219,1084.546875,439.1
18000,0.7080677970079705,1092.52734375,433.2
19000,0.7103707259957446,1093.66796875,453.5
20000,0.7914050010003848,1095.3515625,441.6
21000,0.9070835860038642,1082.19921875,407.7
22000,0.7730655579944141,1091.19921875,440.2
23000,0.7734420240012696,1086.08203125,427.4
24000,0.7848942230048124,1086.1953125,430.4
